"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TMAX","TMIN","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT07","WT08","WT09","WT11","WT13","WT14","WT16"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-02-25","4.47","0.00",,,"63","50","10.1","13.0",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-02-26","10.96","0.54",,,"61","52","34.9","44.1","    1",,,,"    1",,"    1",,,"    1",,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-02-27","8.50","0.13",,,"59","50","17.0","19.9","    1",,,,"    1",,,,,,,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-02-28","8.50","0.00",,,"62","47","19.9","23.0","    1",,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-03-01","8.72","0.00",,,"59","51","25.1","29.1",,,,,,,,,,,,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-03-02","8.50","0.48",,,"58","51","17.9","21.9","    1",,,,"    1",,,,,"    1",,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-03-03","9.40","0.89",,,"57","45","33.1","44.1","    1",,,,"    1",,,,,"    1",,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-03-04","8.05","0.00",,,"56","41","21.0","25.9",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-03-05","5.82","0.00",,,"57","44","12.1","14.1",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-03-06","6.26","0.00",,,"64","50","15.0","17.9",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-03-07","17.22","0.00",,,"59","52","34.9","40.9",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-03-08","17.45","0.03",,,"56","46","31.1","40.0",,,,,"    1",,,,,,,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-03-09","12.08","0.03",,,"55","40","32.0","38.9","    1",,,,"    1",,,,,,,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-03-10","12.53","0.06",,,"56","46","32.0","40.0","    1",,,,,,,,,,,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-03-11","5.14","0.00",,,"59","51","14.1","17.9",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-03-12","9.62","0.64",,,"58","48","28.0","34.9","    1",,,,"    1",,,,,"    1",,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-03-13","8.72","0.00",,,"57","42","25.1","31.1",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-03-14","7.61","0.00",,,"63","42","25.1","29.1",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-03-15","2.91","0.00",,,"67","44","13.0","19.9",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-03-16","7.16","0.00",,,"67","50","23.0","25.9",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-03-17","8.72","0.00",,,"71","52","25.1","30.0",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-03-18","5.82","0.00",,,"73","48","19.9","21.9",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-03-19","6.93","0.00",,,"78","53","17.0","21.0",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-03-20","8.05","0.00",,,"63","50","23.9","28.0",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-03-21","9.84","0.00",,,"63","49","25.9","30.0",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-03-22","11.18","0.00",,,"64","50","23.0","25.9",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-03-23","8.95","0.00",,,"71","48","23.0","25.9","    1",,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-03-24","10.07","0.04",,,"62","47","29.1","36.0","    1",,,,"    1",,,,,"    1",,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-03-25","10.51","0.04",,,"60","49","21.9","25.1","    1",,,,"    1",,,,,,,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-03-26","8.50","0.00",,,"62","47","17.9","21.9",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-03-27","5.82","0.00",,,"69","45","19.9","23.0",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-03-28","7.16","0.00",,,"70","49","21.0","23.0",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-03-29","10.51","0.05",,,"63","54","23.0","25.9","    1",,,,"    1",,"    1",,,"    1",,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-03-30","16.55","0.15",,,"61","49","28.0","40.0","    1",,,,"    1",,,,,,,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-03-31","8.50","0.37",,,"58","45","21.9","25.9","    1",,,,"    1",,,,,,,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-04-01","12.30","0.00",,,"58","45","28.0","33.1",,,,,"    1",,,,,,,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-04-02","12.08","0.08",,,"59","48","25.9","33.1","    1",,,,"    1","    1","    1",,,"    1",,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-04-03","10.07","0.00",,,"57","45","21.9","25.9",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-04-04","12.30","0.53",,,"56","48","31.1","38.9","    1",,,,"    1",,,,,"    1",,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-04-05","6.26","0.02",,,"58","46","16.1","21.9",,,,,"    1",,,,,,,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-04-06","9.62","0.00",,,"62","44","25.1","28.0",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-04-07","10.07","0.00",,,"69","46","29.1","33.1",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-04-08","14.09","0.00",,,"61","48","29.1","34.9",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-04-09","7.61","0.00",,,"69","45","19.9","21.9",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-04-10","15.21","0.00",,,"59","53","29.1","38.0",,,,,"    1",,,,,,,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-04-11","16.33","0.92",,,"56","49","28.0","34.9","    1",,,,"    1",,,,,"    1",,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-04-12","12.30","0.54",,,"59","49","21.9","31.1","    1",,"    1",,"    1",,"    1",,,"    1",,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-04-13","12.08","0.00",,,"60","50","21.9","29.1",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-04-14","8.28","0.00",,,"60","48","19.9","23.9",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-04-15","6.49","0.00",,,"66","47","19.9","23.0",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-04-16","7.61","0.00",,,"69","50","17.9","21.9",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-04-17","9.84","0.00",,,"67","53","21.9","30.0",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-04-18","6.49","0.00",,,"76","48","23.0","25.9",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-04-19","10.29","0.00",,,"66","50","23.9","29.1",,,,,"    1",,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-04-20","17.45","0.44",,,"60","49","25.9","33.1","    1",,,,"    1",,"    1",,,"    1",,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-04-21","19.24","0.04",,,"57","49","34.9","42.9",,,,,"    1",,,,,,,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-04-22","8.72","0.00",,,"65","48","17.9","23.0",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-04-23","10.74","0.00",,,"67","48","25.9","33.1",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-04-24","12.30","0.00",,,"63","47","25.9","31.1",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-04-25","8.72","0.00",,,"76","48","23.0","28.0",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-04-26","11.18","0.00",,,"64","51","25.1","29.1",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-04-27","14.99","0.09",,,"62","52","25.9","33.1","    1",,,,"    1",,,,,"    1",,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-04-28","14.54","0.09",,,"58","49","30.0","36.9","    1",,,,"    1",,,,,"    1",,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-04-29","18.12","0.00",,,"60","48","36.9","46.1",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-04-30","14.76","0.00",,,"64","47","31.1","38.0",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-05-01","18.12","0.00",,,"65","48","36.9","44.1",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-05-02","16.55","0.00",,,"69","49","28.0","31.1",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-05-03","15.21","0.00",,,"68","50","36.0","40.9",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-05-04","14.76","0.00",,,"70","48","30.0","36.0",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-05-05","19.01","0.00",,,"63","49","28.0","32.0",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-05-06","13.20","0.00",,,"69","47","25.9","32.0",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-05-07","15.88","0.00",,,"63","50","31.1","36.0",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-05-08","15.43","0.00",,,"63","50","29.1","36.0",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-05-09","13.20","0.01",,,"62","53","23.0","28.0",,,,,"    1",,,,,,,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-05-10","14.32","0.12",,,"59","49","34.9","40.9","    1",,,,"    1",,,,,"    1",,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-05-11","11.41","0.00",,,"63","45","25.9","32.0",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-05-12","14.32","0.00",,,"64","49","28.0","33.1",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-05-13","12.30","0.00",,,"65","50","31.1","36.9",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-05-14","14.32","0.00",,,"62","51","25.9","32.0",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-05-15","13.87","0.00",,,"64","50","25.1","30.0",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-05-16","12.75","0.00",,,"60","50","23.9","29.1",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-05-17","6.49","0.06",,,"59","52","14.1","21.9","    1",,,,"    1",,,,,,,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-05-18","9.40","0.01",,,"66","53","23.0","28.0","    1",,,,"    1",,,,,"    1",,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-05-19","9.40","0.00",,,"65","51","21.0","23.9",,,,,"    1",,,,,,,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-05-20","17.00","0.00",,,"65","50","36.0","42.9",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-05-21","19.01","0.00",,,"61","50","29.1","34.9",,,,,,,,,,,,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-05-22","18.34","0.00",,,"61","48","32.0","38.0",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-05-23","19.91","0.00",,,"63","47","44.1","55.9",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-05-24","8.05","0.00",,,"65","52","17.0","23.0",,,,,"    1",,,,,,,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-05-25","8.05","0.05",,,"61","55","17.9","32.0","    1",,,,"    1",,,,,,"    1","    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-05-26","6.26","0.02",,,"67","53","19.9","23.0","    1",,,,,,,,,,,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-05-27","10.51","0.42",,,"63","53","23.0","32.0","    1",,,,"    1",,,,,"    1",,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-05-28","12.53","0.00",,,"64","51","25.1","30.0",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-05-29","10.29","0.00",,,"74","52","34.9","40.9",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-05-30","14.09","0.00",,,"76","53","32.0","36.0",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-05-31","14.99","0.00",,,"67","55","28.0","33.1","    1",,,,,,,,,"    1",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-06-01","14.32","0.00",,,"66","53","25.9","33.1","    1",,,,,,,,,"    1",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-06-02","9.84","0.00",,,"71","55","23.9","28.0",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-06-03","9.62","0.00",,,"74","61","21.0","25.1",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-06-04","8.72","0.00",,,"76","62","25.1","30.0",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-06-05","11.41","0.00",,,"80","60","23.9","28.0",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-06-06","14.99","0.00",,,"74","57","25.9","31.1","    1",,,,,,"    1",,,"    1","    1",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-06-07","18.34","0.00",,,"64","55","31.1","38.0","    1",,,,,,,,,"    1",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-06-08","17.00","0.00",,,"62","54","33.1","40.9",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-06-09","14.99","0.00",,,"65","56","29.1","38.9","    1",,,,,,"    1",,,,,"    1"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-06-10","23.94","0.00",,,"67","54","36.0","42.9",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-06-11","17.90","0.00",,,"73","53","33.1","38.0",,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-06-12","13.20","0.00",,,"88","59","28.0","32.0",,,,,,,,,,,,
